iter	Passed	Remaining
0	4	413
1	7	377
2	11	369
3	14	354
4	17	332
5	20	317
6	22	305
7	25	293
8	28	289
9	31	281
10	33	274
11	36	266
12	38	260
13	41	254
14	44	251
15	47	247
16	49	242
17	52	237
18	54	232
19	57	229
20	59	225
21	62	222
22	65	218
23	67	214
24	70	210
25	72	207
26	75	203
27	77	200
28	80	196
29	83	193
30	85	190
31	88	187
32	91	184
33	93	181
34	96	178
35	98	174
36	100	171
37	103	168
38	105	165
39	108	162
40	111	160
41	113	157
42	116	154
43	118	151
44	121	148
45	123	145
46	126	142
47	128	139
48	131	136
49	133	133
50	136	131
51	138	128
52	141	125
53	144	122
54	146	119
55	149	117
56	151	114
57	154	111
58	156	108
59	159	106
60	161	103
61	164	100
62	167	98
63	169	95
64	172	92
65	174	90
66	177	87
67	179	84
68	182	81
69	184	79
70	187	76
71	189	73
72	192	71
73	195	68
74	198	66
75	201	63
76	204	61
77	208	58
78	211	56
79	214	53
80	217	51
81	220	48
82	222	45
83	225	42
84	228	40
85	230	37
86	233	34
87	235	32
88	238	29
89	241	26
90	244	24
91	246	21
92	249	18
93	251	16
94	254	13
95	256	10
96	259	8
97	261	5
98	264	2
99	266	0
